id/id,code_intrastat
__import__.product_4280103_product_template,23091031
__import__.product_1421825_product_template,30043200
__import__.product_3334778_product_template,30023000
__import__.product_4170007_product_template,23091051
__import__.product_1234215_product_template,23091051
__import__.product_1234415_product_template,23091051
__import__.product_2923662_product_template,23091011
__import__.product_4500445_product_template,23091031
__import__.product_3133162_product_template,30023000
__import__.product_2650349_product_template,30023000
__import__.product_3498987_product_template,30023000
__import__.product_3535853_product_template,30023000
__import__.product_3535598_product_template,30023000
__import__.product_8043747_product_template,39202080
__import__.product_5273404_product_template,90183900
__import__.product_8366864_product_template,90183900
__import__.product_8239462_product_template,90189084
__import__.product_8259840_product_template,23099051
__import__.product_5170255_product_template,34022090
__import__.product_8124919_product_template,23099096
__import__.product_5316020_product_template,23091031
__import__.product_5317899_product_template,23091031
__import__.product_5317749_product_template,23091031
__import__.product_5420000_product_template,30023000
__import__.product_5810707_product_template,23091051
__import__.product_5822842_product_template,23091051
__import__.product_5080102_product_template,63079092
__import__.product_0870360_product_template,63079092
__import__.product_3006042_product_template,90189060
__import__.product_5832482_product_template,90189084
__import__.product_8055408_product_template,90189084
__import__.product_1703201_product_template,90181200
__import__.product_2710515_product_template,30042000
__import__.product_5312003_product_template,23091031
__import__.product_7351518_product_template,23091031
__import__.product_1800156_product_template,30023000
__import__.product_4210102_product_template,23091051
__import__.product_4230123_product_template,23091051
__import__.product_4120132_product_template,23091051
__import__.product_2709707_product_template,30023000
__import__.product_6690604_product_template,30021500
__import__.product_8493309_product_template,27122090
__import__.product_3228855_product_template,30023000
__import__.product_2934800_product_template,30023000
__import__.product_4960043_product_template,23091011
__import__.product_5044144_product_template,30043900
__import__.product_1211374_product_template,30023000
__import__.product_4140112_product_template,23091051
__import__.product_4250201_product_template,23091051
__import__.product_5260032_product_template,23091011
__import__.product_2877819_product_template,23091051
__import__.product_0864058_product_template,30049000
__import__.product_4500404_product_template,23091031
__import__.product_8069273_product_template,38220000
__import__.product_3444312_product_template,30023000
__import__.product_5032421_product_template,90183900
__import__.product_3535879_product_template,30023000
__import__.product_3550449_product_template,33051000
__import__.product_5221015_product_template,23091011
__import__.product_5326220_product_template,62113310
__import__.product_5326222_product_template,62113310
__import__.product_5326223_product_template,62113310
__import__.product_8477606_product_template,22072000
__import__.product_4241781_product_template,23099096
__import__.product_1202829_product_template,29413000
__import__.product_5470003_product_template,62113310
__import__.product_5470001_product_template,62113310
__import__.product_5470002_product_template,62113310
__import__.product_5470033_product_template,62113310
__import__.product_5470000_product_template,62113310
__import__.product_5715063_product_template,62113310
__import__.product_5326221_product_template,62113310
__import__.product_5740261_product_template,62113310
