id,name,bic
__import__.bank_CIKBBEBBCLR,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBBCLR
__import__.bank_CIKBBEBB,EUROCLEAR BELGIUM (PREVIOUSLY KNOWN AS CIK BELGIUM),CIKBBEBB
__import__.bank_TRGGBEB1,EUROCLEAR SA,TRGGBEB1
__import__.bank_ENXBBEB1,EURONEXT BRUSSELS NV,ENXBBEB1
__import__.bank_EUALBEB1,EUROP ASSISTANCE BELGIUM SA,EUALBEB1
__import__.bank_EURBBE99,EUROPABANK N.V.,EURBBE99
__import__.bank_FVLBBE2E,EVI,FVLBBE2E
__import__.bank_DEVSBE41,"F. DELCOUR, A. VANCRAYEBECK ET F. SACRE, SPRL",DEVSBE41
__import__.bank_FVLBBE22,F. VAN LANSCHOT BANKIERS BELGIE N.V.,FVLBBE22
__import__.bank_FGRNBE88,FAGRON N.V.,FGRNBE88
__import__.bank_FCEFBE21,FCE BANK PLC,FCEFBE21
__import__.bank_FINRBEB1,FINACOR,FINRBEB1
__import__.bank_FRCSBEBB,FINANCIERE REMY COINTREAU SA/NV,FRCSBEBB
__import__.bank_FNNPBE21,FINPARTNER,FNNPBE21
__import__.bank_FORDBE21,FORD CREDIT EUROPE PLC,FORDBE21
__import__.bank_FTNOBEB1,FORTUNEO BELGIUM,FTNOBEB1
__import__.bank_FPHEBEB1,FPS HEALTH,FPHEBEB1
__import__.bank_FUJIBEB1,"FUJI BANK, LTD., THE, BRUSSELS BRANCH",FUJIBEB1
__import__.bank_FXBBBEBB,FX4BIZ,FXBBBEBB
__import__.bank_GEBLBEB1,"GESTRABEL, SPRL",GEBLBEB1
__import__.bank_GOETBE91,"GOETHALS EN CO, GCV",GOETBE91
__import__.bank_GOLABEB1,"GOFFIN - LANNOY ET CIE, S.A.",GOLABEB1
__import__.bank_GOCFBEB1,GOLD COMMODITIES FOREX,GOCFBEB1
__import__.bank_GSSSBEB1,GROUP S - SOCIAAL SECRETARIAAT V.Z.W,GSSSBEB1
__import__.bank_HABBBEBB,HABIB BANK LTD.,HABBBEBB
__import__.bank_HEBBBEB1,HEWLETT-PACKARD BELGIUM S.P.R.L./ B.V.B.A.,HEBBBEB1
