price,product_code,name/id,id,product_tmpl_id/id
1.17,0030304,__import__.supplier_77320,__import__.supplierinfo_77320-0030304,__import__.product_0030304_product_template
1.71,,__import__.supplier_63195,__import__.supplierinfo_63195-0030494,__import__.product_0030494_product_template
2.05,,__import__.supplier_63195,__import__.supplierinfo_63195-0031005,__import__.product_0031005_product_template
4.78,,__import__.supplier_63195,__import__.supplierinfo_63195-0031450,__import__.product_0031450_product_template
1.52,,__import__.supplier_63195,__import__.supplierinfo_63195-0031468,__import__.product_0031468_product_template
20.10,,__import__.supplier_79201,__import__.supplierinfo_79201-0032052,__import__.product_0032052_product_template
10.80,,__import__.supplier_32420,__import__.supplierinfo_32420-0032410,__import__.product_0032410_product_template
14.25,,__import__.supplier_63195,__import__.supplierinfo_63195-0032417,__import__.product_0032417_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0032912,__import__.product_0032912_product_template
3.39,,__import__.supplier_63195,__import__.supplierinfo_63195-0033019,__import__.product_0033019_product_template
5.67,,__import__.supplier_63195,__import__.supplierinfo_63195-0033050,__import__.product_0033050_product_template
2.25,,__import__.supplier_63195,__import__.supplierinfo_63195-0033282,__import__.product_0033282_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0033530,__import__.product_0033530_product_template
2.06,,__import__.supplier_63195,__import__.supplierinfo_63195-0033548,__import__.product_0033548_product_template
2.59,,__import__.supplier_63195,__import__.supplierinfo_63195-0033571,__import__.product_0033571_product_template
1.74,0033795,__import__.supplier_63195,__import__.supplierinfo_63195-0033795,__import__.product_0033795_product_template
3.32,,__import__.supplier_63195,__import__.supplierinfo_63195-0033910,__import__.product_0033910_product_template
3.00,,__import__.supplier_63195,__import__.supplierinfo_63195-0034009,__import__.product_0034009_product_template
2.34,,__import__.supplier_63195,__import__.supplierinfo_63195-0034058,__import__.product_0034058_product_template
1.39,0109421,__import__.supplier_63195,__import__.supplierinfo_63195-0034100,__import__.product_0034100_product_template
4.61,,__import__.supplier_63195,__import__.supplierinfo_63195-0034280,__import__.product_0034280_product_template
3.73,,__import__.supplier_63195,__import__.supplierinfo_63195-0034637,__import__.product_0034637_product_template
14.27,,__import__.supplier_79201,__import__.supplierinfo_79201-0034686,__import__.product_0034686_product_template
6.07,0808832,__import__.supplier_63195,__import__.supplierinfo_63195-0035000,__import__.product_0035000_product_template
1.49,,__import__.supplier_63195,__import__.supplierinfo_63195-0035030,__import__.product_0035030_product_template
111.75,605980,__import__.supplier_66155,__import__.supplierinfo_66155-0035434,__import__.product_0035434_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0035469,__import__.product_0035469_product_template
2.26,,__import__.supplier_63195,__import__.supplierinfo_63195-0035600,__import__.product_0035600_product_template
3.51,,__import__.supplier_63195,__import__.supplierinfo_63195-0035725,__import__.product_0035725_product_template
3.54,,__import__.supplier_63195,__import__.supplierinfo_63195-0036517,__import__.product_0036517_product_template
3.73,0036566,__import__.supplier_63195,__import__.supplierinfo_63195-0036566,__import__.product_0036566_product_template
4.78,,__import__.supplier_63195,__import__.supplierinfo_63195-0036632,__import__.product_0036632_product_template
3.31,,__import__.supplier_63195,__import__.supplierinfo_63195-0036707,__import__.product_0036707_product_template
5.55,,__import__.supplier_83300,__import__.supplierinfo_83300-0037028,__import__.product_0037028_product_template
6.18,,__import__.supplier_79201,__import__.supplierinfo_79201-0037077,__import__.product_0037077_product_template
27.30,,__import__.supplier_62600,__import__.supplierinfo_62600-0037333,__import__.product_0037333_product_template
2.56,,__import__.supplier_63195,__import__.supplierinfo_63195-0037457,__import__.product_0037457_product_template
4.45,0037473,__import__.supplier_63195,__import__.supplierinfo_63195-0037473,__import__.product_0037473_product_template
4.15,,__import__.supplier_63195,__import__.supplierinfo_63195-0037556,__import__.product_0037556_product_template
5.40,,__import__.supplier_71100,__import__.supplierinfo_71100-0037754,__import__.product_0037754_product_template
9.19,,__import__.supplier_79150,__import__.supplierinfo_79150-0037770,__import__.product_0037770_product_template
2.60,,__import__.supplier_63195,__import__.supplierinfo_63195-0037820,__import__.product_0037820_product_template
28.76,F0038100,__import__.supplier_66906,__import__.supplierinfo_66906-0038100,__import__.product_0038100_product_template
25.11,F0038101,__import__.supplier_66906,__import__.supplierinfo_66906-0038101,__import__.product_0038101_product_template
21.55,F0038102,__import__.supplier_66906,__import__.supplierinfo_66906-0038102,__import__.product_0038102_product_template
20.51,F0038103,__import__.supplier_66906,__import__.supplierinfo_66906-0038103,__import__.product_0038103_product_template
18.85,F1038104,__import__.supplier_66906,__import__.supplierinfo_66906-0038104,__import__.product_0038104_product_template
22.94,F1038105,__import__.supplier_66906,__import__.supplierinfo_66906-0038105,__import__.product_0038105_product_template
25.11,F1038106,__import__.supplier_66906,__import__.supplierinfo_66906-0038106,__import__.product_0038106_product_template
3.50,,__import__.supplier_63195,__import__.supplierinfo_63195-0038224,__import__.product_0038224_product_template
21.47,,__import__.supplier_63195,__import__.supplierinfo_63195-0038521,__import__.product_0038521_product_template
65.28,1038715,__import__.supplier_66906,__import__.supplierinfo_66906-0038715,__import__.product_0038715_product_template
5.01,G1038716,__import__.supplier_66906,__import__.supplierinfo_66906-0038716,__import__.product_0038716_product_template
6.02,G1038717,__import__.supplier_66906,__import__.supplierinfo_66906-0038717,__import__.product_0038717_product_template
5.69,G0038719,__import__.supplier_66906,__import__.supplierinfo_66906-0038719,__import__.product_0038719_product_template
6.27,G1038720,__import__.supplier_66906,__import__.supplierinfo_66906-0038720,__import__.product_0038720_product_template
1.49,,__import__.supplier_63195,__import__.supplierinfo_63195-0038927,__import__.product_0038927_product_template
10.78,,__import__.supplier_63195,__import__.supplierinfo_63195-0039123,__import__.product_0039123_product_template
1.86,,__import__.supplier_63195,__import__.supplierinfo_63195-0039248,__import__.product_0039248_product_template
2.50,,__import__.supplier_63195,__import__.supplierinfo_63195-0039347,__import__.product_0039347_product_template
3.32,,__import__.supplier_63195,__import__.supplierinfo_63195-0039669,__import__.product_0039669_product_template
16.62,,__import__.supplier_62600,__import__.supplierinfo_62600-0039719,__import__.product_0039719_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0039834,__import__.product_0039834_product_template
9.80,0039859,__import__.supplier_79100,__import__.supplierinfo_79100-0039859,__import__.product_0039859_product_template
17.25,811489,__import__.supplier_61700,__import__.supplierinfo_61700-0039883,__import__.product_0039883_product_template
7.38,,__import__.supplier_63195,__import__.supplierinfo_63195-0039917,__import__.product_0039917_product_template
2.87,932 447/1,__import__.supplier_68302,__import__.supplierinfo_68302-0040097,__import__.product_0040097_product_template
3.44,,__import__.supplier_63195,__import__.supplierinfo_63195-0040162,__import__.product_0040162_product_template
2.00,,__import__.supplier_63195,__import__.supplierinfo_63195-0040295,__import__.product_0040295_product_template
2.87,,__import__.supplier_63195,__import__.supplierinfo_63195-0040345,__import__.product_0040345_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0040394,__import__.product_0040394_product_template
1.26,,__import__.supplier_63195,__import__.supplierinfo_63195-0040451,__import__.product_0040451_product_template
0,,__import__.supplier_77666,__import__.supplierinfo_77666-0040659,__import__.product_0040659_product_template
5.35,,__import__.supplier_63195,__import__.supplierinfo_63195-0040766,__import__.product_0040766_product_template
3.08,,__import__.supplier_63195,__import__.supplierinfo_63195-0041020,__import__.product_0041020_product_template
1.32,,__import__.supplier_63195,__import__.supplierinfo_63195-0041863,__import__.product_0041863_product_template
27.21,,__import__.supplier_66200,__import__.supplierinfo_66200-0041921,__import__.product_0041921_product_template
8.20,,__import__.supplier_71100,__import__.supplierinfo_71100-0042028,__import__.product_0042028_product_template
5.07,,__import__.supplier_63195,__import__.supplierinfo_63195-0042150,__import__.product_0042150_product_template
17.65,,__import__.supplier_63195,__import__.supplierinfo_63195-0042168,__import__.product_0042168_product_template
4.56,460083,__import__.supplier_82595,__import__.supplierinfo_82595-0042267,__import__.product_0042267_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0042390,__import__.product_0042390_product_template
2.95,,__import__.supplier_63195,__import__.supplierinfo_63195-0042500,__import__.product_0042500_product_template
3.24,,__import__.supplier_63195,__import__.supplierinfo_63195-0042523,__import__.product_0042523_product_template
3.51,,__import__.supplier_63195,__import__.supplierinfo_63195-0042564,__import__.product_0042564_product_template
6.01,,__import__.supplier_63195,__import__.supplierinfo_63195-0042671,__import__.product_0042671_product_template
10.57,0042754,__import__.supplier_79100,__import__.supplierinfo_79100-0042754,__import__.product_0042754_product_template
17.67,,__import__.supplier_77320,__import__.supplierinfo_77320-0042762,__import__.product_0042762_product_template
6.48,,__import__.supplier_63195,__import__.supplierinfo_63195-0042887,__import__.product_0042887_product_template
1.47,,__import__.supplier_63195,__import__.supplierinfo_63195-0042952,__import__.product_0042952_product_template
7.23,,__import__.supplier_63195,__import__.supplierinfo_63195-0043026,__import__.product_0043026_product_template
1.91,,__import__.supplier_63350,__import__.supplierinfo_63350-0043299,__import__.product_0043299_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0043471,__import__.product_0043471_product_template
2.23,,__import__.supplier_93915,__import__.supplierinfo_93915-0043711,__import__.product_0043711_product_template
4.93,,__import__.supplier_63195,__import__.supplierinfo_63195-0044180,__import__.product_0044180_product_template
1.19,,__import__.supplier_63195,__import__.supplierinfo_63195-0044230,__import__.product_0044230_product_template
11.87,,__import__.supplier_63195,__import__.supplierinfo_63195-0044248,__import__.product_0044248_product_template
3.15,,__import__.supplier_63195,__import__.supplierinfo_63195-0044545,__import__.product_0044545_product_template
3.92,,__import__.supplier_63195,__import__.supplierinfo_63195-0044586,__import__.product_0044586_product_template
34.00,,__import__.supplier_71100,__import__.supplierinfo_71100-0044925,__import__.product_0044925_product_template
2.32,0047753,__import__.supplier_63195,__import__.supplierinfo_63195-0045000,__import__.product_0045000_product_template
29.31,0045518,__import__.supplier_74200,__import__.supplierinfo_74200-0045518,__import__.product_0045518_product_template
64.35,,__import__.supplier_79201,__import__.supplierinfo_79201-0045666,__import__.product_0045666_product_template
1.81,1356880,__import__.supplier_77340,__import__.supplierinfo_77340-0045856,__import__.product_0045856_product_template
0,,__import__.supplier_77666,__import__.supplierinfo_77666-0046037,__import__.product_0046037_product_template
3.10,,__import__.supplier_63195,__import__.supplierinfo_63195-0046128,__import__.product_0046128_product_template
3.91,,__import__.supplier_63195,__import__.supplierinfo_63195-0046946,__import__.product_0046946_product_template
3.87,,__import__.supplier_63195,__import__.supplierinfo_63195-0046987,__import__.product_0046987_product_template
2.69,,__import__.supplier_77320,__import__.supplierinfo_77320-0047142,__import__.product_0047142_product_template
2.17,,__import__.supplier_63195,__import__.supplierinfo_63195-0047167,__import__.product_0047167_product_template
