Code,en_GB,fr_BE,nl_BE
pa230,Nafcilline,Nafcilline,Nafcilline
pa231,Nandrolon,Nandrolone,Nandrolon
pa232,Neomycine,Néomycine,Neomycine
pa233,Newcastle Disease Virus,Newcastle Disease (virus -),Newcastle Disease Virus
pa234,Nicotinamide,Nicotinamide,Nicotinamide
pa235,Nitroxinil,Nitroxinil,Nitroxinil
pa226,Mycoplasma gallisepticum,Mycoplasma gallisepticum,Mycoplasma gallisepticum
pa225,Mucosal Disease Virus,Mucosal Disease Virus,Mucosal Disease Virus
pa224,Moxidectine,Moxidectine,Moxidectine
pa215,Methopren,Méthoprène,Methopren
pa216,Methylprednisolon,Méthylprednisolone,Methylprednisolon
pa217,Metoclopramide,Métoclopramide,Metoclopramide
pa218,Metronidazol,Métronidazole,Metronidazol
pa219,Miconazol,Miconazole nitrate,Miconazol
pa220,Milbemycine,Milbémycine,Milbemycine
pa221,Mometasonfuroaat,Mométasone furoate,Mometasonfuroaat
pa222,Monepantel,Monépantel,Monepantel
pa223,Monensin,Monensin,Monensin
pa236,Nystatine,Nystatine,Nystatine
pa284,Pyrantel,Pyrantel,Pyrantel
pa332,Tiamuline,Tiamuline,Tiamuline
pa345,Valnemuline,Valnémuline,Valnemuline
pa346,Kanariepokkenvirus,Variole du canari (virus de la -),Kanariepokkenvirus
pa347,Respiratorisch Syncytiaal Virus (BRS-Virus),Virus Respiratoire Syncytial Bovin (BRSV),Respiratorisch Syncytiaal Virus (BRS-Virus)
pa348,Vitamine A,Vitamine A,Vitamine A
pa349,Vitamine B1,Vitamine B1,Vitamine B1
pa350,Vitamine B12,Vitamine B12,Vitamine B12
pa351,Vitamine B2,Vitamine B2,Vitamine B2
pa352,Vitamine B3,Vitamine B3,Vitamine B3
pa353,Vitamine B5,Vitamine B5,Vitamine B5
pa344,Tylvalosine,Tylvalosine,Tylvalosine
pa343,Tylosine,Tylosine,Tylosine
pa342,Tulathromycine,Tulathromycine,Tulathromycine
pa333,Tiletamine,Tilétamine,Tiletamine
pa334,Tildipirosine,Tildipirosine,Tildipirosine
pa335,Tilmicosine,Tilmicosine,Tilmicosine
pa336,Toceranib,Tocéranib,Toceranib
pa337,Tocoferol,Tocophérol,Tocoferol
pa338,Toltrazuril,Toltrazuril,Toltrazuril
pa339,Triclabendazole,Triclabendazole,Triclabendazole
pa340,Trilostane,Trilostane,Trilostane
pa341,Trimethoprim,Triméthoprime,Trimethoprim
pa354,Vitamine B6,Vitamine B6,Vitamine B6
pa355,Vitamine D,Vitamine D,Vitamine D
pa356,Vitamine E,Vitamine E,Vitamine E
pa357,Xylazine,Xylazine,Xylazine
pa358,Zink,Zinc,Zink
pa359,Zolazepam,Zolazépam,Zolazepam
pa285,Pyridoxine,Pyridoxine,Pyridoxine
pa298,Robenacoxib,Robénacoxib,Robenacoxib
pa299,Romifidine,Romifidine,Romifidine
pa300,Ronidazol,Ronidazole,Ronidazol
pa301,Rota-virus,Rotavirus,Rota-virus
pa302,RSB-virus,RSB (virus -),RSB-virus
pa303,Salicylaat,Salicylate de sodium,Salicylaat
pa304,Salmonella enteritidis,Salmonella enteritidis,Salmonella enteritidis
pa305,Salmonella typhimurium,Salmonella typhimurium,Salmonella typhimurium
pa306,Selamectine,Sélamectine,Selamectine
pa297,Rifaximin,Rifaximine,Rifaximin
pa296,Riboflavine,Riboflavine,Riboflavine
pa295,Infectieuze boviene rhinotracheitis,Rhinotrachéite infectieuse bovine (IBR),Infectieuze boviene rhinotracheitis
pa286,Pyriprole,Pyriprole,Pyriprole
pa287,Pyriproxyfen,Pyriproxyfène,Pyriproxyfen
pa288,Rabbit Hemorrhagic Disease Virus,Rabbit Hemorrhagic Disease Virus,Rabbit Hemorrhagic Disease Virus
pa289,Rabiesvirus,Rage (virus de la -),Rabiesvirus
pa290,Ramipril,Ramipril,Ramipril
pa291,Reovirus,Réovirus,Reovirus
pa292,Retinol,Rétinol,Retinol
pa293,Rhinotracheitisvirus kalkoen,Rhinotrachéite de la dinde (virus de la -),Rhinotracheitisvirus kalkoen
pa294,Felien rhinotracheitisvirus,Rhinotrachéite féline (virus de la -),Felien rhinotracheitisvirus
pa307,Selegiline,Sélégiline,Selegiline
pa308,(S)-methopren (methopren),(S)-methoprene (methoprene),(S)-methopren (methopren)
pa309,Natrium,Sodium,Natrium
pa322,Monosulfiram,Sulfiram,Monosulfiram
pa323,Suxibuzon,Suxibuzone,Suxibuzon
pa324,PRRS-virus (Porcien Reproductief en Respiratoir Syndroom),Syndrome Dysgenesique et Respiratoire Porcin (virus du -) (SDRP) (PRRS),PRRS-virus (Porcien Reproductief en Respiratoir Syndroom)
pa325,Telmisartan,Telmisartan,Telmisartan
pa326,Tetanus,Tétanos,Tetanus
pa327,Tetracaine,Tétracaïne,Tetracaine
pa328,Thiamazole,Thiamazole,Thiamazole
