id;type;default_code;name;categ_id;route_ids/id;weight;tracking
test_product_8110610;product;8110610;ARA ARTHRITE VEAU 6x5ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6975116;product;6975116;SERUM ANTITETANIQUE 300 5ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6819273;product;6819273;SERUM TRIVALENT EQUIN 10ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.03;lot
test_product_6980689;product;6980689;DERMAFLON SOLUTION 100ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6908657;product;6908657;IMOCOLIBOV MEGA 50ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.05;lot
test_product_9512048;product;9512048;INSOL TRICHOPHYTON 100ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.1;lot
test_product_5055127;product;5055127;INSOL DERMATOPHYTON 2ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6826681;product;6826681;SALMOPAST MEGA 50ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.11;lot
test_product_6869176;product;6869176;TASVAX 8 50ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.05;lot
test_product_6869182;product;6869182;TASVAX 8 SOL INJ 200ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6984954;product;6984954;ECTHYBEL 25doses;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6977322;product;6977322;LANDAVAX 1000d 500ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6786533;product;6786533;BOVILIS RINGVAC 40ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.04;lot
test_product_6903200;product;6903200;CASTOREX 20ml 40d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6799613;product;6799613;COLOMBOVAC PMV/POX 50D (cascade);Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.06;lot
test_product_6713592;product;6713592;CUNICAL LAPIN  5ml 10D;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6765548;product;6765548;DERCUNIMIX 1x10d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6771098;product;6771098;DERVAXIMYXO SG 33 40D;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_8105508;product;8105508;DIFTOSEC 10x1000d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6741737;product;6741737;LAPIMUNE HVD 10d 10ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.01;lot
test_product_6781435;product;6781435;LAPINJECT 1x10d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6781429;product;6781429;LAPINJECT 1x5d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6828556;product;6828556;LYOMYXOVAX 1x10d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_6756911;product;6756911;MERILYM 1 valence 1dose;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.01;lot
test_product_6777356;product;6777356;NOBILIS ERYSIPELAS SUSP INJ 1x500d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6778835;product;6778835;OVILIS CHLAMYDIA 1x20d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6891721;product;6891721;OVILIS PASTOVAX SUSP INJ 50d 100ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6954692;product;6954692;PALMIVAX 500d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6775854;product;6775854;PARVOKAN 1x500d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6791675;product;6791675;PIRODOG 1 dose;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.02;lot
test_product_8105218;product;8105218;SPIROVAC LEPTO 1x25d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6760628;product;6760628;TRIVACTON 10x5ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.05;lot
test_product_6729021;product;6729021;TRIVACTON 6 50ml (1x10d);Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.11;lot
test_product_6954350;product;6954350;VAXIDUK 1x500d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6725224;product;6725224;CUNICAL LAPIN 25ml 50D;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.03;lot
test_product_5801748;product;5801748;HIPRAVIAR AP 100d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5043400;product;5043400;OVIPAST 100ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.2;lot
test_product_5043401;product;5043401;OVIPAST 500ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.6;lot
test_product_6789537;product;6789537;PNEUMEQUINE 10x1d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5749000;product;5749000;ZYLEXIS 5x2ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5741500;product;5741500;DIFTOVAC 1x50d;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5512036;product;5512036;ZOOSAL T 20 doses 10ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.01;lot
test_product_5512034;product;5512034;ZOOSAL T 50 doses 25ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5512004;product;5512004;ZYLEXIS 10x1ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_5427500;product;5427500;PHARMAVAC COLUMBI 2 50d 15ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_6741714;product;6741714;COGLAMUNE 50ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.05;lot
test_product_6789827;product;6789827;COGLAVAX 250ml;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.25;lot
test_product_1388750;product;1388750;CODIVIT BECK3 5L;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_2836336;product;2836336;KAMINOX 60ML;Médicaments;purchase.route_warehouse0_buy;0.09;lot
test_product_7764053;product;7764053;EQUI PROTECT 5X15GR;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_3041803;product;3041803;OROZYME RF2 STICKS LARGE 2x14 STICKS;Aliments;purchase.route_warehouse0_buy;0;lot
test_product_3041829;product;3041829;OROZYME RF2 STICKS MEDIUM 2x14 STICKS;Aliments;purchase.route_warehouse0_buy;0;lot
test_product_3041811;product;3041811;OROZYME RF2 STICKS SMALL 2x14 STICKS;Aliments;purchase.route_warehouse0_buy;2.34;lot
test_product_7764003;product;7764003;PROTECT PLUS 5X15GR;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0;lot
test_product_7764027;product;7764027;TONICA 100ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6600839;product;6600839;SELEVIT E 1,5KG;Médicaments;purchase.route_warehouse0_buy;1.65;lot
test_product_6600817;product;6600817;PUPPYLAC 450GR;Médicaments;purchase.route_warehouse0_buy;0.6;lot
test_product_1662865;product;1662865;COLOSTRIVAL H12 SACHET 73GR;Médicaments;purchase.route_warehouse0_buy;0.08;lot
test_product_2198448;product;2198448;DOGIMMUN SERINGUE 15ML;Médicaments;purchase.route_warehouse0_buy,__setup__.stock_location_route_pick_froid;0.05;lot
test_product_1399534;product;1399534;FERMENTS LACTIQUES 1,4KG PRODIVET;Médicaments;purchase.route_warehouse0_buy;1.43;lot
