id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_QCA320,QCA320,41,__import__.location_family_Q,bin,Q,C,A,3,20
__import__.location_loc_GE28A1,GE28A1,62,__import__.location_family_G,bin,G,E,2,8,A1
__import__.location_loc_GBI301,GBI301,96,__import__.location_family_G,bin,G,B,I,3,01
__import__.location_loc_GF14F4,GF14F4,77,__import__.location_family_G,bin,G,F,1,4,F4
__import__.location_loc_GBM415,GBM415,63,__import__.location_family_G,bin,G,B,M,4,15
__import__.location_loc_GGP304,GGP304,28,__import__.location_family_G,bin,G,G,P,3,04
__import__.location_loc_GC06D1,GC06D1,30,__import__.location_family_G,bin,G,C,0,6,D1
__import__.location_loc_GF10D3,GF10D3,59,__import__.location_family_G,bin,G,F,1,0,D3
__import__.location_loc_GF12A4,GF12A4,27,__import__.location_family_G,bin,G,F,1,2,A4
__import__.location_loc_GBG309,GBG309,55,__import__.location_family_G,bin,G,B,G,3,09
__import__.location_loc_GBX313,GBX313,13,__import__.location_family_G,bin,G,B,X,3,13
__import__.location_loc_GBP216,GBP216,89,__import__.location_family_G,bin,G,B,P,2,16
__import__.location_loc_GBI305,GBI305,16,__import__.location_family_G,bin,G,B,I,3,05
__import__.location_loc_GBV101,GBV101,08,__import__.location_family_G,bin,G,B,V,1,01
__import__.location_loc_GBF504,GBF504,82,__import__.location_family_G,bin,G,B,F,5,04
__import__.location_loc_GC31A6,GC31A6,24,__import__.location_family_G,bin,G,C,3,1,A6
__import__.location_loc_GBG513,GBG513,23,__import__.location_family_G,bin,G,B,G,5,13
__import__.location_loc_GE09B1,GE09B1,53,__import__.location_family_G,bin,G,E,0,9,B1
__import__.location_loc_GBP105,GBP105,39,__import__.location_family_G,bin,G,B,P,1,05
__import__.location_loc_AA09B1,AA09B1,47,__import__.location_family_A,bin,A,A,09,B,1
__import__.location_loc_AC11B3,AC11B3,42,__import__.location_family_A,bin,A,C,11,B,3
__import__.location_loc_GF14C5,GF14C5,55,__import__.location_family_G,bin,G,F,1,4,C5
__import__.location_loc_GGR206,GGR206,06,__import__.location_family_G,bin,G,G,R,2,06
__import__.location_loc_GGL106,GGL106,95,__import__.location_family_G,bin,G,G,L,1,06
__import__.location_loc_GD01D4,GD01D4,65,__import__.location_family_G,bin,G,D,0,1,D4
__import__.location_loc_GGE301,GGE301,03,__import__.location_family_G,bin,G,G,E,3,01
__import__.location_loc_GC02C5,GC02C5,21,__import__.location_family_G,bin,G,C,0,2,C5
__import__.location_loc_QAC210,QAC210,27,__import__.location_family_Q,bin,Q,A,C,2,10
__import__.location_loc_QEA115,QEA115,79,__import__.location_family_Q,bin,Q,E,A,1,15
__import__.location_loc_GD04G3,GD04G3,05,__import__.location_family_G,bin,G,D,0,4,G3
__import__.location_loc_GBM217,GBM217,63,__import__.location_family_G,bin,G,B,M,2,17
__import__.location_loc_GE26D3,GE26D3,97,__import__.location_family_G,bin,G,E,2,6,D3
__import__.location_loc_GC31G1,GC31G1,97,__import__.location_family_G,bin,G,C,3,1,G1
__import__.location_loc_GD23C2,GD23C2,45,__import__.location_family_G,bin,G,D,2,3,C2
__import__.location_loc_GD27C3,GD27C3,25,__import__.location_family_G,bin,G,D,2,7,C3
__import__.location_loc_GK10A2,GK10A2,40,__import__.location_family_G,bin,G,K,1,0,A2
__import__.location_loc_QLA120,QLA120,91,__import__.location_family_Q,bin,Q,L,A,1,20
__import__.location_loc_GC03E1,GC03E1,63,__import__.location_family_G,bin,G,C,0,3,E1
__import__.location_loc_GBK215,GBK215,84,__import__.location_family_G,bin,G,B,K,2,15
__import__.location_loc_AH09A2,AH09A2,29,__import__.location_family_A,bin,A,H,09,A,2
__import__.location_loc_GD02D2,GD02D2,60,__import__.location_family_G,bin,G,D,0,2,D2
__import__.location_loc_AI08A2,AI08A2,87,__import__.location_family_A,bin,A,I,08,A,2
__import__.location_loc_QCD310,QCD310,65,__import__.location_family_Q,bin,Q,C,D,3,10
__import__.location_loc_GBV102,GBV102,46,__import__.location_family_G,bin,G,B,V,1,02
__import__.location_loc_GGR501,GGR501,26,__import__.location_family_G,bin,G,G,R,5,01
__import__.location_loc_GBB502,GBB502,47,__import__.location_family_G,bin,G,B,B,5,02
__import__.location_loc_GGL406,GGL406,80,__import__.location_family_G,bin,G,G,L,4,06
__import__.location_loc_GD25B3,GD25B3,03,__import__.location_family_G,bin,G,D,2,5,B3
__import__.location_loc_AB07A3,AB07A3,14,__import__.location_family_A,bin,A,B,07,A,3
__import__.location_loc_AEC120,AEC120,14,__import__.location_family_A,bin,A,E,C1,2,0
__import__.location_loc_AH08A1,AH08A1,14,__import__.location_family_A,bin,A,H,08,A,1
__import__.location_loc_AA02A1,AA02A1,25,__import__.location_family_A,bin,A,A,02,A,1
__import__.location_loc_AC03A4,AC03A4,66,__import__.location_family_A,bin,A,C,03,A,4
__import__.location_loc_AF08A2,AF08A2,78,__import__.location_family_A,bin,A,F,08,A,2
