id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_300419_4230103,2019-04-30 00:00:00,563,__import__.product_4230103,300419
__import__.stock_production_lot_300619_4230103,2019-06-30 00:00:00,463,__import__.product_4230103,300619
__import__.stock_production_lot_310519_4230103,2019-05-31 00:00:00,462,__import__.product_4230103,310519
__import__.stock_production_lot_310719_4230103,2019-07-31 00:00:00,662,__import__.product_4230103,310719
__import__.stock_production_lot_300919_4270131,2019-09-30 00:00:00,129,__import__.product_4270131,300919
__import__.stock_production_lot_301119_4270131,2019-11-30 00:00:00,529,__import__.product_4270131,301119
__import__.stock_production_lot_310120_4270131,2020-01-31 00:00:00,538,__import__.product_4270131,310120
__import__.stock_production_lot_310120_4270142,2020-01-31 00:00:00,239,__import__.product_4270142,310120
__import__.stock_production_lot_311219_4270142,2019-12-31 00:00:00,429,__import__.product_4270142,311219
__import__.stock_production_lot_Z75K303D_4373726,2020-01-31 00:00:00,417,__import__.product_4373726,Z75K303D
__import__.stock_production_lot_325293_4461838,2020-12-31 00:00:00,709,__import__.product_4461838,325293
__import__.stock_production_lot_310120_4500284,2020-01-31 00:00:00,102,__import__.product_4500284,310120
__import__.stock_production_lot_300919_4500285,2019-09-30 00:00:00,639,__import__.product_4500285,300919
__import__.stock_production_lot_301119_4500285,2019-11-30 00:00:00,253,__import__.product_4500285,301119
__import__.stock_production_lot_310120_4500285,2020-01-31 00:00:00,469,__import__.product_4500285,310120
__import__.stock_production_lot_311219_4500285,2019-12-31 00:00:00,359,__import__.product_4500285,311219
__import__.stock_production_lot_300619_4500365,2019-06-30 00:00:00,256,__import__.product_4500365,300619
__import__.stock_production_lot_310719_4500365,2019-07-31 00:00:00,455,__import__.product_4500365,310719
__import__.stock_production_lot_310819_4500365,2019-08-31 00:00:00,117,__import__.product_4500365,310819
__import__.stock_production_lot_311219_4500382,2029-11-03 00:00:00,614,__import__.product_4500382,311219
__import__.stock_production_lot_301119_4500404,2019-11-30 00:00:00,948,__import__.product_4500404,301119
__import__.stock_production_lot_300619_4500445,2019-06-30 00:00:00,721,__import__.product_4500445,300619
__import__.stock_production_lot_310519_4500445,2019-05-31 00:00:00,320,__import__.product_4500445,310519
__import__.stock_production_lot_300420_4901409,2020-04-30 00:00:00,355,__import__.product_4901409,300420
__import__.stock_production_lot_310520_4901409,2020-05-31 00:00:00,254,__import__.product_4901409,310520
__import__.stock_production_lot_300420_4901703,2020-04-30 00:00:00,120,__import__.product_4901703,300420
__import__.stock_production_lot_310320_4901703,2020-03-31 00:00:00,519,__import__.product_4901703,310320
__import__.stock_production_lot_310520_4901703,2020-05-31 00:00:00,119,__import__.product_4901703,310520
__import__.stock_production_lot_300919_4910036,2019-09-30 00:00:00,294,__import__.product_4910036,300919
