id,width,length,depth,weight
__import__.product_5035525,0,0,0,0
__import__.product_5038004,0,0,0,0
__import__.product_5038005,0,0,0,0
__import__.product_5038041,0,0,0,0
__import__.product_5038042,0,0,0,0
__import__.product_5038052,0,0,0,0
__import__.product_5038751,0,0,0,0
__import__.product_5038752,0,0,0,0
__import__.product_5039107,0,0,0,0
__import__.product_5040042,0,0,0,0
__import__.product_5040195,0,0,0,0
__import__.product_5042200,0,0,0,0
__import__.product_5043961,0,0,0,0
__import__.product_5043962,0,0,0,0
__import__.product_5045131,0,0,0,0
__import__.product_5045133,0,0,0,0
__import__.product_5045134,0,0,0,0
__import__.product_5045144,0,0,0,0
__import__.product_5045148,0,0,0,0
__import__.product_5045149,0,0,0,0
__import__.product_5045150,0,0,0,0
__import__.product_5047343,0,0,0,0
__import__.product_5049211,0,0,0,0
__import__.product_5050000,0,0,0,0
__import__.product_5051479,0,0,0,0
__import__.product_5051483,0,0,0,0
__import__.product_5052033,0,0,0,0
__import__.product_5056713,0,0,0,0
__import__.product_5060107,0,0,0,0
__import__.product_5060109,0,0,0,0
__import__.product_5060118,0,0,0,0
__import__.product_5063283,0,0,0,0
__import__.product_5063901,0,0,0,0
__import__.product_5063902,0,0,0,0
__import__.product_5063904,0,0,0,0
__import__.product_5063905,0,0,0,0
__import__.product_5063906,0,0,0,0
__import__.product_5063931,0,0,0,0
__import__.product_5063932,0,0,0,0
__import__.product_5063939,0,0,0,0
__import__.product_5063941,0,0,0,0
__import__.product_5063942,0,0,0,0
__import__.product_5063952,0,0,0,0
__import__.product_5063953,0,0,0,0
__import__.product_5063954,0,0,0,0
__import__.product_5063955,0,0,0,0
__import__.product_5063956,0,0,0,0
__import__.product_5063957,0,0,0,0
__import__.product_5063958,0,0,0,0
__import__.product_5063970,0,0,0,0
__import__.product_5063971,0,0,0,0
__import__.product_5063978,0,0,0,0
__import__.product_5065997,0,0,0,0
__import__.product_5068725,0,0,0,0
__import__.product_5068727,0,0,0,0
__import__.product_5073431,0,0,0,0
__import__.product_5074564,0,0,0,0
__import__.product_5075685,0,0,0,0
__import__.product_5078032,0,0,0,0
__import__.product_5080431,0,0,0,0
__import__.product_5080441,0,0,0,0
__import__.product_5081541,0,0,0,0
__import__.product_5100010,0,0,0,0
__import__.product_5100311,0,0,0,0
__import__.product_5100312,0,0,0,0
__import__.product_5100432,0,0,0,0
__import__.product_5100765,0,0,0,0
__import__.product_5100920,0,0,0,0
__import__.product_5100921,0,0,0,0
__import__.product_5101004,0,0,0,0
__import__.product_5102021,0,0,0,0
__import__.product_5102144,0,0,0,0
__import__.product_5102146,0,0,0,0
__import__.product_5102294,0,0,0,0
__import__.product_5102630,0,0,0,0
__import__.product_5102634,0,0,0,0
__import__.product_5103014,0,0,0,0
__import__.product_5104800,0,0,0,0
__import__.product_5105101,0,0,0,0
__import__.product_5105102,0,0,0,0
__import__.product_5106004,0,0,0,0
__import__.product_5106024,0,0,0,0
__import__.product_5106307,0,0,0,0
__import__.product_5109001,0,0,0,0
__import__.product_5109201,0,0,0,0
__import__.product_5109300,0,0,0,0
__import__.product_5110006,8,48,3.9,0.12
__import__.product_5110014,3.1,3,6.8,0.02
__import__.product_5111849,0,0,0,0
__import__.product_5111870,0,0,0,0
__import__.product_5111931,0,0,0,0
__import__.product_5112372,0,0,0,0
__import__.product_5112373,0,0,0,0
__import__.product_5112374,0,0,0,0
__import__.product_5112375,0,0,0,0
__import__.product_5112376,0,0,0,0
__import__.product_5112377,0,0,0,0
__import__.product_5112378,0,0,0,0
__import__.product_5112417,0,0,0,0
__import__.product_5113156,0,0,0,0
__import__.product_5113586,0,0,0,0
__import__.product_5113590,0,0,0,0
__import__.product_5113863,0,0,0,0
__import__.product_5116025,0,0,0,0
__import__.product_5118015,0,0,0,0
__import__.product_5118511,0,0,0,0
__import__.product_5120126,0,0,0,0
__import__.product_5120420,0,0,0,0
__import__.product_5120980,0,0,0,0
__import__.product_5120981,0,0,0,0
__import__.product_5121276,0,0,0,0
__import__.product_5124221,6.3,9.5,6.2,0.1
__import__.product_5129265,0,0,0,0
__import__.product_5130026,0,0,0,0
__import__.product_5131117,0,0,0,14.5
__import__.product_5135351,0,0,0,0
__import__.product_5138151,0,0,0,0
__import__.product_5140481,0,0,0,0
__import__.product_5140501,0,0,0,0
__import__.product_5141775,0,0,0,0
__import__.product_5141790,0,0,0,0
__import__.product_5141791,0,0,0,0
__import__.product_5141792,0,0,0,0
__import__.product_5141793,0,0,0,0
__import__.product_5144012,0,0,0,0
__import__.product_5144026,0,0,0,0
__import__.product_5144038,0,0,0,0
__import__.product_5147219,0,0,0,0
__import__.product_5147237,0,0,0,0
__import__.product_5147276,0,0,0,0
__import__.product_5147277,0,0,0,0
__import__.product_5147695,0,0,0,0
__import__.product_5147696,0,0,0,0
__import__.product_5147698,0,0,0,0
__import__.product_5147700,0,0,0,0
__import__.product_5147750,0,0,0,0
__import__.product_5147760,0,0,0,0
