id,standard_price
__import__.product_0104992,2.5
__import__.product_0105056,2.53
__import__.product_0105072,2.53
__import__.product_0105320,3.78
__import__.product_0105361,2.89
__import__.product_0105429,1.96
__import__.product_0105635,3
__import__.product_0105676,1.42
__import__.product_0105692,2.13
__import__.product_0105700,3.83
__import__.product_0105900,1.13
__import__.product_0105924,1.36
__import__.product_0105965,2.93
__import__.product_0105981,2.41
__import__.product_0106203,8.2
__import__.product_0106435,1.55
__import__.product_0106831,2.38
__import__.product_0106971,4.16
__import__.product_0107136,1.32
__import__.product_0107235,5.19
__import__.product_0107276,3.45
__import__.product_0107359,3.65
__import__.product_0107532,6.78
__import__.product_0107706,13.89
__import__.product_0107813,2.69
__import__.product_0107961,0
__import__.product_0107984,5.01
__import__.product_0108175,4.24
__import__.product_0108282,1.06
__import__.product_0108423,0
__import__.product_0108670,11.43
__import__.product_0108712,2.07
__import__.product_0108720,6.95
__import__.product_0108894,9.67
__import__.product_0109181,37.86
__import__.product_0109199,2.6
__import__.product_0109207,1.63
__import__.product_0109330,0
__import__.product_0109504,2.36
__import__.product_0109595,8.53
__import__.product_0109900,1.09
__import__.product_0109912,2.91
__import__.product_0109922,2.16
__import__.product_0109930,26.95
__import__.product_0110000,5.34
__import__.product_0110001,5.51
__import__.product_0110395,12.38
__import__.product_0110759,0
__import__.product_0110882,3.43
__import__.product_0111054,0.64
__import__.product_0111401,2.71
__import__.product_0111427,4.72
__import__.product_0111575,2.07
__import__.product_0111591,0.82
__import__.product_0111666,8.76
__import__.product_0111708,1.66
__import__.product_0111799,1.52
__import__.product_0111963,1.05
__import__.product_0112110,3.15
__import__.product_0112490,3.72
__import__.product_0112573,9.25
__import__.product_0112664,0
__import__.product_0112904,1.4
__import__.product_0112945,3.04
__import__.product_0112946,10.09
__import__.product_0113134,4.24
__import__.product_0113399,0
__import__.product_0113464,2.82
__import__.product_0113597,9.18
__import__.product_0113639,0.78
__import__.product_0113894,2.86
__import__.product_0113969,5.74
__import__.product_0114074,0
__import__.product_0114397,4.64
__import__.product_0114421,3.7
__import__.product_0114462,5.26
__import__.product_0114561,4.66
__import__.product_0114611,1.76
__import__.product_0114835,2.35
__import__.product_0114892,24.27
__import__.product_0115055,3.02
__import__.product_0115071,3.2
__import__.product_0115121,3.41
__import__.product_0115196,6.54
__import__.product_0115246,3.26
__import__.product_0115300,10.77
__import__.product_0115352,4.17
__import__.product_0115808,1.35
__import__.product_0115816,0
__import__.product_0115899,2.03
__import__.product_0115949,2.95
__import__.product_0116236,2.92
__import__.product_0117028,7.41
__import__.product_0117093,4.88
__import__.product_0117094,13.14
__import__.product_0117333,2.84
__import__.product_0117481,4.1
__import__.product_0117564,2.01
__import__.product_0117572,4.76
__import__.product_0117580,1.43
__import__.product_0117598,1.59
__import__.product_0117770,9.79
__import__.product_0117800,2.69
__import__.product_0117994,3.19
__import__.product_0118018,2.05
__import__.product_0118034,17.76
__import__.product_0118067,1.7
__import__.product_0118091,1.35
__import__.product_0118422,3.28
__import__.product_0118500,6.07
__import__.product_0118570,2.36
__import__.product_0118703,1.44
__import__.product_0119172,0
__import__.product_0119180,3.45
__import__.product_0119198,2.88
__import__.product_0119677,3.69
__import__.product_0119735,1.36
__import__.product_0119800,2.64
__import__.product_0119801,2.07
__import__.product_0119958,6.36
__import__.product_0120139,0
__import__.product_0120202,0.48
__import__.product_0120485,1.54
__import__.product_0120584,2.84
__import__.product_0120675,2.9
__import__.product_0121012,0
__import__.product_0121228,3.35
__import__.product_0121426,1.88
__import__.product_0121491,2.65
__import__.product_0122143,4.65
__import__.product_0122150,4.24
__import__.product_0122275,2.69
__import__.product_0122283,0.94
__import__.product_0122762,6.27
__import__.product_0122994,1.11
__import__.product_0123042,2.2
__import__.product_0123851,2.06
__import__.product_0124289,3.66
__import__.product_0124297,10.61
__import__.product_0124412,2.8
__import__.product_0124520,23.43
__import__.product_0124594,2.16
__import__.product_0124644,0
__import__.product_0124792,1.74
__import__.product_0124867,4.54
__import__.product_0125000,35.67
__import__.product_0125112,2.49
__import__.product_0125153,0
__import__.product_0125187,1.06
__import__.product_0125195,1.46
__import__.product_0125203,0.82
__import__.product_0125427,2.58
__import__.product_0125732,6.32
__import__.product_0125906,0
__import__.product_0125922,1.46
__import__.product_0125997,1.95
__import__.product_0126000,1.59
__import__.product_0126052,8.25
__import__.product_0126193,1.39
__import__.product_0126276,5.85
__import__.product_0126540,1.91
__import__.product_0126771,1.9
__import__.product_0126797,2.61
__import__.product_0126946,2.31
__import__.product_0126979,3.38
__import__.product_0127035,3.12
__import__.product_0127233,0
__import__.product_0127258,1.03
__import__.product_0127480,2.13
__import__.product_0127589,1.63
__import__.product_0127696,2.6
__import__.product_0127800,22.63
__import__.product_0127870,3.95
__import__.product_0128000,1.61
__import__.product_0128165,4.36
__import__.product_0128488,2.6
__import__.product_0128637,3.4
__import__.product_0128645,8.41
__import__.product_0128835,9.91
__import__.product_0129007,3.89
__import__.product_0129015,6.81
__import__.product_0129098,1.71
__import__.product_0129114,3.31
__import__.product_0129452,8.08
__import__.product_0129460,4.06
__import__.product_0129494,3.92
__import__.product_0129593,3.78
__import__.product_0130054,1.66
