id,width,depth,length,default_code
__import__.product_0125187,0,0,0,0125187
__import__.product_0125195,0,0,0,0125195
__import__.product_0125203,0,0,0,0125203
__import__.product_0125427,0,0,0,0125427
__import__.product_0125906,0,0,0,0125906
__import__.product_0125922,0,0,0,0125922
__import__.product_0126052,0,0,0,0126052
__import__.product_0126193,0,0,0,0126193
__import__.product_0126276,0,0,0,0126276
__import__.product_0126540,0,0,0,0126540
__import__.product_0126771,0,0,0,0126771
__import__.product_0126946,0,0,0,0126946
__import__.product_0127035,0,0,0,0127035
__import__.product_0127233,0,0,0,0127233
__import__.product_0127258,0,0,0,0127258
__import__.product_0127480,0,0,0,0127480
__import__.product_0127589,0,0,0,0127589
__import__.product_0127696,0,0,0,0127696
__import__.product_0127800,0,0,0,0127800
__import__.product_0128000,0,0,0,0128000
__import__.product_0128165,0,0,0,0128165
__import__.product_0128637,0,0,0,0128637
__import__.product_0128645,0,0,0,0128645
__import__.product_0128835,0,0,0,0128835
__import__.product_0129015,0,0,0,0129015
__import__.product_0129494,0,0,0,0129494
__import__.product_0130054,0,0,0,0130054
__import__.product_0130492,0,0,0,0130492
__import__.product_0130633,0,0,0,0130633
__import__.product_0130815,0,0,0,0130815
__import__.product_0131334,0,0,0,0131334
__import__.product_0131375,0,0,0,0131375
__import__.product_0131896,0,0,0,0131896
__import__.product_0132274,0,0,0,0132274
__import__.product_0132290,0,0,0,0132290
__import__.product_0132407,0,0,0,0132407
__import__.product_0132423,0,0,0,0132423
__import__.product_0132450,0,0,0,0132450
__import__.product_0132548,0,0,0,0132548
__import__.product_0132589,0,0,0,0132589
__import__.product_0132704,0,0,0,0132704
__import__.product_0133231,0,0,0,0133231
__import__.product_0133249,0,0,0,0133249
__import__.product_0133686,0,0,0,0133686
__import__.product_0133868,0,0,0,0133868
__import__.product_0134100,3.90,1.90,8.60,0134100
__import__.product_0134213,0,0,0,0134213
__import__.product_0134528,0,0,0,0134528
__import__.product_0134866,0,0,0,0134866
__import__.product_0134882,0,0,0,0134882
__import__.product_0134957,0,0,0,0134957
__import__.product_0135100,7.40,1.80,8.50,0135100
__import__.product_0135152,0,0,0,0135152
__import__.product_0135418,0,0,0,0135418
__import__.product_0135483,0,0,0,0135483
__import__.product_0135509,0,0,0,0135509
__import__.product_0135517,0,0,0,0135517
__import__.product_0135533,0,0,0,0135533
__import__.product_0135700,0,0,0,0135700
__import__.product_0135913,0,0,0,0135913
__import__.product_0135954,0,0,0,0135954
__import__.product_0136100,7.50,1.80,8.60,0136100
__import__.product_0136200,0,0,0,0136200
__import__.product_0136242,0,0,0,0136242
__import__.product_0136267,0,0,0,0136267
__import__.product_0136283,0,0,0,0136283
__import__.product_0136432,0,0,0,0136432
__import__.product_0136473,5.20,9.80,5.20,0136473
__import__.product_0137050,0,0,0,0137050
__import__.product_0137240,0,0,0,0137240
__import__.product_0137398,0,0,0,0137398
__import__.product_0137545,0,0,0,0137545
__import__.product_0137546,0,0,0,0137546
__import__.product_0137547,0,0,0,0137547
