id,name,categ_id/id
__import__.product_1405008,N2O FAILSAFE ASSEMBLY,__temp__.product_categ_undefined
__import__.product_1405018,DIAPHRAGME REMPLACEMENT MASQUE MA,__temp__.product_categ_undefined
__import__.product_1405033,APIS HA 50AMP,__temp__.product_categ_undefined
__import__.product_1405075,MATRX TUYAU,__temp__.product_categ_undefined
__import__.product_1405128,MASQUE ANESTHESIE MATRX CANIN GRA,specific_data.product_categ__mat_cardio
__import__.product_1405170,"SONDE ENDOTRACH TRANSP A BALLON 3,5mm",__temp__.product_categ_undefined
__import__.product_1406021,MATRX VMS/VML BARRE FIXATION,__temp__.product_categ_undefined
__import__.product_1416536,"ALPRAZOLAM 0,25MG 50CP EG",specific_data.product_categ__humain
__import__.product_1416718,BEFEDO CHIEN 180 COMP,specific_data.product_categ__ali_comp
__import__.product_1416726,BEFEDO CHIEN 60CP,specific_data.product_categ__ali_comp
__import__.product_1418250,PORTE AIGUILLE MATHIEU RENF 20cm,__temp__.product_categ_undefined
__import__.product_1441260,FLACON PLASTIQUE 500ml + BOUCHON,__temp__.product_categ_undefined
__import__.product_1446715,STELLA COMP STER 10X10CM 12P/10 1,specific_data.product_categ__mat_conso
__import__.product_1450048,ASCENCIA ELITE KIT,specific_data.product_categ__mat_conso
__import__.product_1450400,BIOLOG VETERINAIRE: CABLE CHEVAUX,__temp__.product_categ_undefined
__import__.product_1460116,BIOLOG VETERINAIRE & CABLE 6 DIREC,__temp__.product_categ_undefined
__import__.product_1460117,BIOLOG MKII MONITOR SANS IMPRIMANTE,__temp__.product_categ_undefined
__import__.product_1460119,MPI INJEKT PRINTER INTERFACE,__temp__.product_categ_undefined
__import__.product_1460121,BIOLOG VETERINAIRE SOFTW CARDIOVIEW,__temp__.product_categ_undefined
__import__.product_1482376,TROUSSE DIAGNOSTIC VET.HEINE,specific_data.product_categ__mat_equipement
__import__.product_1484070,CEFOVET BTE DE 2 INJ MAMMITES,specific_data.product_categ__pis
__import__.product_1488924,PROXIMATE ILS SDH 29,__temp__.product_categ_undefined
__import__.product_1488925,PROXIMATE AGRAF 35 PCES PTW 35,__temp__.product_categ_undefined
__import__.product_1491943,CARBOPOL CARBOMER GEL 1kg,specific_data.product_categ__ali_comp
__import__.product_1498310,IDEALAST COLOR 4CMx4M,__temp__.product_categ_undefined
__import__.product_1498328,IDEALAST COLOR 6CMx4M,__temp__.product_categ_undefined
__import__.product_1505012,DISCUS COMP 50 AMP 5ML HEEL,specific_data.product_categ__humain
__import__.product_1505014,MUCOSA CF AD US VET 50AMP,specific_data.product_categ__homeo
__import__.product_1505015,NUX VOMICA HOMACCORD 50x5ML HEEL,specific_data.product_categ__humain
__import__.product_1543865,ACCUCHEK GLUCOSE BANDELETTES /50,__temp__.product_categ_undefined
__import__.product_1586387,GLYCERINE SUPPO AD BTE DE 100,specific_data.product_categ__humain
__import__.product_1591044,VERNIS CHIRURGICAL 100 amp de 10m,__temp__.product_categ_undefined
__import__.product_1600015,SMI CATGUT PL USP2 EP6 150cm / 12,specific_data.product_categ__mat_sutures
__import__.product_1616040,ALAISE MOLINEA+ 60x90cm PAR 120(4,specific_data.product_categ__mat_conso
__import__.product_1634971,THERMOMETRE DIGITAL HARTMANN,__temp__.product_categ_undefined
__import__.product_1657015,CISEAUX METZENBAUM DROITS 15CM SI,__temp__.product_categ_undefined
__import__.product_1658368,THERMOMETRE THERMOSCAN IRT3520,__temp__.product_categ_undefined
__import__.product_1660745,DIAFARM BAIN POUR OEIL 100ML,specific_data.product_categ__divers_para
__import__.product_1660778,DIAFARM DENTIFRICE CHIEN 50ML,specific_data.product_categ__divers_para
__import__.product_1660794,DIAFARM PAWWAX CHIEN 50ML,specific_data.product_categ__divers_para
__import__.product_1687522,TABLE OPERATION MIN-LAB PETITS AN,specific_data.product_categ__mat_equipement
__import__.product_1702810,NDE CAOUTCHOUC POUR ROUE TABLE 4,specific_data.product_categ__mat_equipement
__import__.product_1705482,ONE TOUCH ULTRA 2 GLUCOMETRE,specific_data.product_categ__mat_conso
__import__.product_1708134,SCIE OSCILLANTE  BATT.+LAME TTA/T,specific_data.product_categ__mat_ortho
__import__.product_1727031,SINUTAB 15CP,specific_data.product_categ__humain
__import__.product_1735960,FLUORISCEIN SODIUM STRIPS 1mg x100,specific_data.product_categ__mat_conso
__import__.product_1738900,RESISTANCE 8mm POUR SOUDEUSE HAWO,specific_data.product_categ__mat_equipement
__import__.product_1740224,"BAYTRIL ORAL 2,5% 500ML/",specific_data.product_categ__antimicrobiens
__import__.product_1741776,"OMNIPLAST 1,25CMx9,2M BTE DE 20",__temp__.product_categ_undefined
__import__.product_1741792,"OMNIPLAST 5cmx9,2m bte de 6",__temp__.product_categ_undefined
__import__.product_1741875,"OMNIFILM 2,5cmx9,2m",__temp__.product_categ_undefined
__import__.product_1747237,THERMOMETRE AURICULAIRE,__temp__.product_categ_undefined
__import__.product_1785104,TENSOVAL TENSIOMETRE DUO CONTROL,__temp__.product_categ_undefined
__import__.product_1792266,"METRO ADNEX INJEEL 1,1ml 10amp HE",specific_data.product_categ__humain
__import__.product_1800135,ENDOSCOPE SCHOTT V8F135D,specific_data.product_categ__mat_img_radio
__import__.product_1800800,GAYMAR T-PUMP,specific_data.product_categ__mat_cardio
__import__.product_1800806,TAPIS GAYMAR UU 46x66cm,specific_data.product_categ__mat_equipement
__import__.product_1928502,BOITE A STERILISER 300X138X65 TRO,__temp__.product_categ_undefined
__import__.product_1929001,BOITE A STERILISER 250X60X50 TROU,__temp__.product_categ_undefined
__import__.product_2013080,TABLE VTCARE CONSULT/CHIRUR CIS E,specific_data.product_categ__mat_equipement
__import__.product_2054781,PROTEQFLU-TE 50X1D + SAC ISOTHERM,specific_data.product_categ__vaccins
__import__.product_2054815,EURICAN HERPES 205 10X1 DOSE,specific_data.product_categ__vaccins
__import__.product_2102100,IM3 DETARTREUR PIEZO P6 + 4 INSER,specific_data.product_categ__mat_dentisterie
__import__.product_2116838,CURAPLAST 6x10CM 10pièces,specific_data.product_categ__mat_conso
__import__.product_2152270,ASEPTILINE SAVON 500ml,__temp__.product_categ_undefined
__import__.product_2152288,ASEPTILINE GEL 5L,specific_data.product_categ__divers_para
__import__.product_2222220,IM3 PROTECTION POUR DISQUE DIAMAN,specific_data.product_categ__mat_equipement
__import__.product_2262004,AKTIVAIT MEDIUM/LARGE DOG 60CAPS,specific_data.product_categ__ali_comp
__import__.product_2301230,RADIO ORANGE : DECLENCHEUR PEDALE,specific_data.product_categ__mat_img_radio
__import__.product_2328854,DOUXO LOTION MICELLAIRE 125ml+,specific_data.product_categ__divers_para
__import__.product_2328870,DOUXO CHLORHEXIDINE PS 200ml/,specific_data.product_categ__divers_para
__import__.product_2351524,SMI CATG CR USP00 EP3.5 DS24 bte,specific_data.product_categ__mat_sutures
__import__.product_2357481,SPECIFIC CCD STRUVITE MANAGEMENT 8KG,specific_data.product_categ__ali_dietetique
__import__.product_2357739,SPECIFIC CXD S ADULT SMALL BREED 1KG,specific_data.product_categ__ali_physio
__import__.product_2357754,"SPECIFIC CXD S ADULT SMALL BREED 7,5KG",specific_data.product_categ__ali_physio
__import__.product_2357788,"SPECIFIC CXD M ADULT MEDIUM BREED 7,5KG",specific_data.product_categ__ali_physio
